patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Faculty,10-20 minutes,In Person Personal,Research and Instruction Services,12:00 PM,8/22/14,Friday
Undergraduate Student,01-5 minutes,Chat,Access Services,3:00 PM,8/22/14,Friday
Graduate Student,05-10 minutes,In Person Personal,Access Services,4:00 PM,8/22/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,8/23/14,Saturday
Undergraduate Student,0-1 minutes,In Person Personal,Access Services,1:30 PM,8/23/14,Saturday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,1:30 PM,8/23/14,Saturday
Faculty,05-10 minutes,Phone Service Point,Access Services,1:30 PM,8/23/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,8/24/14,Sunday
Undergraduate Student,05-10 minutes,In Person Personal,Access Services,11:00 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:00 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:30 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,11:30 AM,8/24/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:30 PM,8/24/14,Sunday
Alumni,01-5 minutes,Phone Service Point,Access Services,1:00 PM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,2:30 PM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Personal,Access Services,3:00 PM,8/24/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,8/24/14,Sunday
Graduate Student,01-5 minutes,Chat,Access Services,4:00 PM,8/24/14,Sunday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,8:30 AM,8/25/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Research and Instruction Services,10:00 AM,8/25/14,Monday
Graduate Student,01-5 minutes,Email List,Research and Instruction Services,10:00 AM,8/25/14,Monday
Faculty,10-20 minutes,Email List,Collection Management Services,11:00 AM,8/25/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,8/25/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,8/25/14,Monday
Faculty,30-60 minutes,Phone Service Point,Research and Instruction Services,12:30 PM,8/25/14,Monday
Faculty,01-5 minutes,Phone Service Point,Access Services,1:30 PM,8/25/14,Monday
Staff/Administration,01-5 minutes,Email Personal,Research and Instruction Services,3:30 PM,8/25/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/25/14,Monday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,5:00 PM,8/25/14,Monday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,5:00 PM,8/25/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,8/25/14,Monday
Undergraduate Student,01-5 minutes,Chat,Access Services,1:00 PM,8/26/14,Tuesday
Graduate Student,05-10 minutes,Chat,Access Services,1:30 PM,8/26/14,Tuesday
Graduate Student,10-20 minutes,Chat,Research and Instruction Services,2:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,3:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/26/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/26/14,Tuesday
Visitor/Other,05-10 minutes,Phone Service Point,Archives and Special Collections,4:00 PM,8/26/14,Tuesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,4:30 PM,8/26/14,Tuesday
Faculty,10-20 minutes,In Person Personal,Research and Instruction Services,9:00 AM,8/27/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,8/27/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,8/27/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,8/27/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,8/27/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,8/27/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,11:00 AM,8/27/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,11:30 AM,8/27/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,12:00 PM,8/27/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,12:00 PM,8/27/14,Wednesday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,12:00 PM,8/27/14,Wednesday
Faculty,10-20 minutes,Email List,Research and Instruction Services,2:30 PM,8/27/14,Wednesday
Faculty,10-20 minutes,Chat,Access Services,4:00 PM,8/27/14,Wednesday
ARC,10-20 minutes,Email Personal,Archives and Special Collections,4:00 PM,8/27/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,8/27/14,Wednesday
Staff/Administration,05-10 minutes,Email Personal,Archives and Special Collections,4:00 PM,8/27/14,Wednesday
Undergraduate Student,10-20 minutes,Chat,Access Services,4:30 PM,8/27/14,Wednesday
Undergraduate Student,30-60 minutes,Email List,Archives and Special Collections,8:30 PM,8/27/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:30 AM,8/28/14,Thursday
Faculty,01-5 minutes,Email List,Access Services,8:30 AM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,8:30 AM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,8:30 AM,8/28/14,Thursday
Staff/Administration,10-20 minutes,Email List,Research and Instruction Services,9:00 AM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,Chat,Access Services,9:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,8/28/14,Thursday
Graduate Student,01-5 minutes,Phone Service Point,Access Services,9:30 AM,8/28/14,Thursday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,10:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:00 AM,8/28/14,Thursday
Faculty,60+ minutes,Email Personal,Research and Instruction Services,10:00 AM,8/28/14,Thursday
Faculty,60+ minutes,Email Personal,Research and Instruction Services,10:00 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,10:30 AM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,8/28/14,Thursday
Graduate Student,60+ minutes,In Person Service Point,Research and Instruction Services,10:30 AM,8/28/14,Thursday
Faculty,10-20 minutes,Phone Personal,Research and Instruction Services,11:30 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,8/28/14,Thursday
Alumni,01-5 minutes,Phone Service Point,Access Services,11:30 AM,8/28/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Access Services,11:30 AM,8/28/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Access Services,11:30 AM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,2:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,8/28/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,3:00 PM,8/28/14,Thursday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,3:30 PM,8/28/14,Thursday
Graduate Student,20-30 minutes,In Person Service Point,Research and Instruction Services,3:30 PM,8/28/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:00 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,8/28/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,6:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,6:30 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 PM,8/28/14,Thursday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 PM,8/28/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:30 AM,8/29/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,8/29/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,9:30 AM,8/29/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,8/29/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,8/29/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,8/29/14,Friday
Faculty,01-5 minutes,Phone Service Point,Access Services,12:30 PM,8/29/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,12:30 PM,8/29/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,1:30 PM,8/29/14,Friday
Faculty,0-1 minutes,In Person Service Point,Access Services,1:30 PM,8/29/14,Friday
Faculty,20-30 minutes,In Person Personal,Research and Instruction Services,2:00 PM,8/29/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,2:30 PM,8/29/14,Friday
Graduate Student,05-10 minutes,Chat,Access Services,3:00 PM,8/29/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,8/29/14,Friday
Graduate Student,01-5 minutes,Chat,Access Services,3:00 PM,8/29/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/29/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,8/29/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,4:00 PM,8/29/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,5:00 PM,8/29/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,5:00 PM,8/29/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,5:30 PM,8/29/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,6:00 PM,8/29/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,6:30 PM,8/29/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:30 PM,8/31/14,Sunday
Undergraduate Student,0-1 minutes,Chat,Access Services,3:00 PM,8/31/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,8/31/14,Sunday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,8/31/14,Sunday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:00 PM,8/31/14,Sunday
Visitor/Other,10-20 minutes,Email List,Archives and Special Collections,8:00 AM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,9/1/14,Monday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,10:00 AM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,9/1/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Research and Instruction Services,11:30 AM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,12:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,1:30 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,2:00 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,9/1/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:00 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,9/1/14,Monday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,4:30 PM,9/1/14,Monday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,6:30 PM,9/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,7:00 PM,9/1/14,Monday
